player,nationality,position,squad,age,birth_year,games,games_starts,minutes,goals,assists,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg,npxg,xa,xg_per90,xa_per90,xg_xa_per90,npxg_per90,npxg_xa_per90,minutes_90s,shots_total,shots_on_target,shots_free_kicks,shots_on_target_pct,shots_total_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,npxg_per_shot,xg_net,npxg_net,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,xa_net,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,sca,sca_per90,sca_passes_live,sca_passes_dead,sca_dribbles,sca_shots,sca_fouled,gca,gca_per90,gca_passes_live,gca_passes_dead,gca_dribbles,gca_shots,gca_fouled,gca_defense,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressures,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocks,blocked_shots,blocked_shots_saves,blocked_passes,interceptions,clearances,errors,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed,dribbles,dribbles_completed_pct,players_dribbled_past,nutmegs,carries,carry_distance,carry_progressive_distance,progressive_carries,carries_into_final_third,carries_into_penalty_area,pass_targets,passes_received,passes_received_pct,miscontrols,dispossessed,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
Antonio Adán,es ESP,GK,Atlético Madrid,32,1987,1.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,6.0,66.7,121.0,98.0,1.0,1.0,100.0,1.0,1.0,100.0,2.0,4.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,4.0,6.0,1.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,5.0,0.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
Aritz Aduriz,es ESP,FW,Athletic Club,38,1981,14.0,0.0,208.0,1.0,0.0,0.0,1.0,3.0,0.0,0.43,0.0,0.43,0.43,0.43,1.3,0.6,0.0,0.58,0.0,0.58,0.25,0.25,2.3,6.0,3.0,0.0,50.0,2.6,1.3,0.17,0.33,0.1,-0.3,0.4,33.0,57.0,57.9,428.0,88.0,26.0,34.0,76.5,6.0,16.0,37.5,1.0,6.0,16.7,0.0,0.0,3.0,0.0,0.0,3.0,57.0,0.0,0.0,0.0,22.0,2.0,1.0,0.0,0.0,0.0,0.0,21.0,16.0,20.0,3.0,26.0,8.0,0.0,3.0,0.0,5.0,0.0,1.0,2.0,0.87,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,16.0,4.0,25.0,4.0,5.0,7.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,82.0,2.0,7.0,39.0,39.0,11.0,81.0,2.0,2.0,100.0,2.0,0.0,33.0,115.0,31.0,1.0,1.0,0.0,117.0,64.0,54.7,4.0,2.0,0.0,8.0,1.0,0.0,0.0,0.0,0.0,7.0,20.0,6.0,76.9
Lumor Agbenyenu,gh GHA,DF,Mallorca,22,1996,23.0,20.0,1805.0,1.0,0.0,0.0,0.0,5.0,1.0,0.05,0.0,0.05,0.05,0.05,0.3,0.3,1.9,0.02,0.1,0.11,0.02,0.11,20.1,14.0,2.0,0.0,14.3,0.7,0.1,0.07,0.5,0.02,0.7,0.7,709.0,969.0,73.2,12417.0,6167.0,327.0,373.0,87.7,304.0,410.0,74.1,67.0,137.0,48.9,-1.9,16.0,47.0,21.0,12.0,70.0,747.0,222.0,11.0,1.0,164.0,24.0,54.0,0.0,0.0,0.0,0.0,497.0,248.0,224.0,646.0,63.0,42.0,211.0,2.0,7.0,37.0,18.0,45.0,33.0,1.65,23.0,4.0,2.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,23.0,24.0,9.0,2.0,18.0,35.0,51.4,17.0,225.0,66.0,29.3,129.0,70.0,26.0,37.0,1.0,0.0,36.0,11.0,62.0,0.0,1182.0,82.0,387.0,538.0,332.0,14.0,964.0,26.0,45.0,57.8,30.0,0.0,701.0,4232.0,2216.0,101.0,34.0,5.0,665.0,599.0,90.1,22.0,18.0,1.0,13.0,9.0,0.0,0.0,0.0,0.0,205.0,14.0,15.0,48.3
Martin Agirregabiria,es ESP,DF,Alavés,23,1996,31.0,23.0,2099.0,1.0,1.0,0.0,0.0,5.0,1.0,0.04,0.04,0.09,0.04,0.09,0.9,0.9,1.0,0.04,0.04,0.08,0.04,0.08,23.3,3.0,1.0,0.0,33.3,0.13,0.04,0.33,1.0,0.3,0.1,0.1,722.0,1014.0,71.2,12629.0,6069.0,329.0,385.0,85.5,314.0,408.0,77.0,70.0,172.0,40.7,0.0,12.0,36.0,14.0,5.0,60.0,765.0,249.0,9.0,1.0,161.0,22.0,30.0,2.0,0.0,1.0,0.0,484.0,234.0,296.0,39.0,661.0,61.0,238.0,3.0,3.0,31.0,17.0,44.0,23.0,0.99,18.0,1.0,2.0,0.0,2.0,3.0,0.13,3.0,0.0,0.0,0.0,0.0,0.0,50.0,22.0,24.0,21.0,5.0,25.0,50.0,50.0,25.0,248.0,60.0,24.2,118.0,106.0,24.0,39.0,8.0,0.0,31.0,9.0,68.0,1.0,1231.0,83.0,395.0,675.0,223.0,9.0,986.0,14.0,26.0,53.8,16.0,3.0,636.0,2937.0,1695.0,63.0,17.0,2.0,677.0,608.0,89.8,20.0,17.0,0.0,41.0,21.0,1.0,0.0,1.0,0.0,207.0,23.0,20.0,53.5
Joseph Aidoo,gh GHA,DF,Celta Vigo,23,1995,32.0,27.0,2502.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,0.04,0.04,0.0,0.04,0.8,0.8,0.8,0.03,0.03,0.06,0.03,0.06,27.8,10.0,1.0,0.0,10.0,0.36,0.04,0.0,0.0,0.08,-0.8,-0.8,1073.0,1223.0,87.7,23979.0,6722.0,233.0,262.0,88.9,615.0,659.0,93.3,219.0,279.0,78.5,0.2,2.0,61.0,2.0,0.0,62.0,1177.0,46.0,38.0,1.0,169.0,32.0,1.0,0.0,0.0,0.0,0.0,954.0,105.0,164.0,232.0,904.0,52.0,8.0,3.0,0.0,14.0,6.0,18.0,13.0,0.47,9.0,1.0,1.0,2.0,0.0,2.0,0.07,2.0,0.0,0.0,0.0,0.0,0.0,40.0,26.0,28.0,11.0,1.0,8.0,28.0,28.6,20.0,304.0,108.0,35.5,218.0,79.0,7.0,42.0,16.0,0.0,26.0,33.0,162.0,1.0,1518.0,213.0,836.0,710.0,50.0,11.0,1475.0,11.0,15.0,73.3,12.0,0.0,962.0,5141.0,2228.0,58.0,10.0,0.0,954.0,934.0,97.9,5.0,8.0,0.0,21.0,17.0,0.0,0.0,2.0,0.0,248.0,59.0,50.0,54.1
Jordi Alba,es ESP,DF,Barcelona,30,1989,27.0,25.0,2187.0,2.0,5.0,0.0,0.0,7.0,0.0,0.08,0.21,0.29,0.08,0.29,1.1,1.1,3.3,0.04,0.14,0.18,0.04,0.18,24.3,7.0,3.0,0.0,42.9,0.29,0.12,0.29,0.67,0.15,0.9,0.9,1864.0,2141.0,87.1,30213.0,9511.0,976.0,1055.0,92.5,713.0,797.0,89.5,140.0,203.0,69.0,1.7,28.0,126.0,38.0,18.0,141.0,1940.0,201.0,30.0,1.0,173.0,31.0,79.0,2.0,0.0,0.0,0.0,1526.0,365.0,250.0,1651.0,269.0,43.0,169.0,4.0,5.0,20.0,30.0,66.0,45.0,1.85,44.0,1.0,0.0,0.0,0.0,5.0,0.21,5.0,0.0,0.0,0.0,0.0,0.0,25.0,14.0,10.0,9.0,6.0,8.0,30.0,26.7,22.0,231.0,68.0,29.4,89.0,95.0,47.0,40.0,5.0,0.0,35.0,25.0,42.0,1.0,2322.0,76.0,475.0,1119.0,831.0,65.0,2125.0,10.0,19.0,52.6,12.0,2.0,1617.0,6153.0,3153.0,143.0,27.0,10.0,1907.0,1762.0,92.4,10.0,7.0,0.0,19.0,19.0,5.0,0.0,0.0,1.0,211.0,10.0,14.0,41.7
Raúl Albiol,es ESP,DF,Villarreal,33,1985,36.0,36.0,3237.0,1.0,0.0,0.0,0.0,9.0,0.0,0.03,0.0,0.03,0.03,0.03,1.4,1.4,0.4,0.04,0.01,0.05,0.04,0.05,36.0,14.0,4.0,0.0,28.6,0.39,0.11,0.07,0.25,0.1,-0.4,-0.4,1619.0,1882.0,86.0,41783.0,12195.0,283.0,313.0,90.4,815.0,882.0,92.4,515.0,671.0,76.8,-0.4,5.0,96.0,5.0,1.0,78.0,1830.0,52.0,47.0,1.0,197.0,120.0,4.0,0.0,0.0,0.0,0.0,1285.0,223.0,374.0,209.0,1521.0,97.0,3.0,6.0,4.0,47.0,15.0,10.0,16.0,0.44,16.0,0.0,0.0,0.0,0.0,1.0,0.03,1.0,0.0,0.0,0.0,0.0,0.0,50.0,33.0,31.0,18.0,1.0,18.0,33.0,54.5,15.0,278.0,85.0,30.6,172.0,102.0,4.0,40.0,21.0,0.0,19.0,17.0,254.0,4.0,2261.0,403.0,1368.0,969.0,51.0,21.0,2209.0,3.0,3.0,100.0,3.0,0.0,1325.0,7803.0,4454.0,71.0,5.0,1.0,1509.0,1492.0,98.9,1.0,1.0,0.0,33.0,24.0,2.0,0.0,2.0,0.0,338.0,78.0,41.0,65.5
Paco Alcácer,es ESP,FW,Villarreal,25,1993,13.0,11.0,924.0,4.0,1.0,0.0,0.0,1.0,0.0,0.39,0.1,0.49,0.39,0.49,3.2,3.2,1.6,0.31,0.15,0.46,0.31,0.46,10.3,25.0,8.0,1.0,32.0,2.44,0.78,0.16,0.5,0.13,0.8,0.8,181.0,230.0,78.7,2575.0,372.0,112.0,133.0,84.2,54.0,66.0,81.8,9.0,17.0,52.9,-0.6,9.0,6.0,6.0,0.0,9.0,206.0,24.0,1.0,2.0,42.0,0.0,3.0,1.0,0.0,0.0,0.0,143.0,54.0,33.0,39.0,170.0,11.0,1.0,6.0,1.0,3.0,2.0,6.0,16.0,1.56,14.0,0.0,0.0,1.0,1.0,3.0,0.29,2.0,0.0,0.0,0.0,1.0,0.0,4.0,2.0,2.0,2.0,0.0,1.0,12.0,8.3,11.0,146.0,43.0,29.5,18.0,67.0,61.0,10.0,2.0,0.0,8.0,2.0,9.0,0.0,316.0,9.0,28.0,149.0,148.0,46.0,291.0,4.0,8.0,50.0,4.0,1.0,171.0,658.0,346.0,19.0,5.0,7.0,389.0,221.0,56.8,17.0,7.0,0.0,4.0,12.0,13.0,1.0,0.0,0.0,40.0,8.0,18.0,30.8
Rubén Alcaraz,es ESP,MF,Valladolid,28,1991,27.0,20.0,1927.0,2.0,2.0,0.0,0.0,10.0,0.0,0.09,0.09,0.19,0.09,0.19,1.6,1.6,0.8,0.08,0.04,0.11,0.08,0.11,21.4,33.0,8.0,9.0,24.2,1.54,0.37,0.06,0.25,0.05,0.4,0.4,831.0,1059.0,78.5,19154.0,4979.0,254.0,295.0,86.1,380.0,425.0,89.4,186.0,300.0,62.0,1.2,14.0,95.0,4.0,1.0,72.0,951.0,108.0,85.0,2.0,202.0,93.0,12.0,19.0,7.0,5.0,0.0,613.0,172.0,274.0,136.0,837.0,50.0,4.0,6.0,2.0,35.0,16.0,23.0,44.0,2.06,24.0,6.0,5.0,4.0,5.0,4.0,0.19,4.0,0.0,0.0,0.0,0.0,0.0,59.0,36.0,34.0,20.0,5.0,23.0,61.0,37.7,38.0,444.0,130.0,29.3,184.0,232.0,28.0,57.0,20.0,0.0,37.0,16.0,68.0,0.0,1330.0,77.0,349.0,890.0,170.0,15.0,1236.0,21.0,29.0,72.4,21.0,1.0,828.0,4312.0,2163.0,84.0,22.0,2.0,811.0,743.0,91.6,14.0,14.0,0.0,46.0,68.0,0.0,0.0,2.0,0.0,283.0,43.0,43.0,50.0
Álex Alegría,es ESP,"FW,MF",Mallorca,26,1992,6.0,0.0,109.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,35.0,65.7,329.0,41.0,14.0,23.0,60.9,4.0,5.0,80.0,3.0,4.0,75.0,0.0,0.0,1.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,14.0,1.0,0.0,0.0,0.0,0.0,0.0,13.0,10.0,12.0,2.0,18.0,5.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.83,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,21.0,6.0,28.6,1.0,8.0,12.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,49.0,0.0,2.0,27.0,22.0,4.0,49.0,1.0,2.0,50.0,1.0,0.0,21.0,58.0,4.0,0.0,0.0,0.0,68.0,40.0,58.8,5.0,2.0,0.0,3.0,4.0,1.0,0.0,0.0,0.0,5.0,11.0,9.0,55.0
